Depth,Salinity
40.13495,35.9666063376
40.2415,35.9554734209
40.34805,35.9443405042
40.4546,35.94713206925
40.5878,35.9499236343
40.721,35.9577441605
40.8542,35.9655646867
40.9874,35.9615401426667
41.1206,35.9575155986333
41.23248,35.9534910546
41.34436,35.94668162945
41.45624,35.9398722043
41.56812,35.9379389738
41.68,35.9361837004
41.81852,35.934428427
41.95704,35.9326731536
42.09556,35.927636129
42.23408,35.9225991044
42.3726,35.9213813847333
42.4525,35.9201636650667
42.5324,35.9189459454
42.6123,35.9185245021
42.6922,35.9181030588
42.7721,35.91473908005
42.91062,35.9113751013
43.04914,35.9065073449
43.18766,35.9016395885
43.32618,35.9021948945333
43.4647,35.9027502005667
43.57124,35.9033055066
43.67778,35.89818920885
43.78432,35.8930729111
43.89086,35.910778892
43.9974,35.9099155912667
44.11994,35.9090522905333
44.24248,35.9081889898
44.36502,35.90574235465
44.48756,35.9032957195
44.6101,35.9024272065
44.65806,35.9015586935
44.70602,35.9006901805
44.75398,35.8960252549
44.80194,35.8913603293
44.8499,35.90635272375
45.043,35.9213451182
45.2361,35.90665184545
45.4292,35.8919585727
45.6223,35.8926718843
45.72354,35.8933851959
45.82478,35.8940985075
45.92602,35.8942024263
46.02726,35.8943063451
46.1285,35.89202915355
46.21374,35.889751962
46.29898,35.88319240355
46.38422,35.8766328451
46.46946,35.8790034411
46.5547,35.8813740371
46.6346,35.8837446331
46.7145,35.8839268654
46.7944,35.8841090977
46.8743,35.8742694345333
46.9542,35.8644297713667
47.06608,35.8545901082
47.17796,35.8579611414
47.28984,35.88702826955
47.40172,35.9160953977
47.5136,35.9164639929
47.64146,35.9168325881
47.76932,35.9172011833
47.89718,35.91293047395
48.02504,35.9086597646
48.1529,35.91725491615
48.26478,35.9258500677
48.37666,35.92364152865
48.48854,35.9214329896
48.60042,35.9238240479333
48.7123,35.9262151062667
48.87212,35.9286061646
49.03194,35.92923810505
49.19176,35.9298700455
49.35158,35.9309868317
49.5114,35.9321036179
49.63795,35.9332204041
49.7645,35.9369587778
49.89105,35.9400211554667
50.0176,35.9430835331333
50.12414,35.9461459108
50.23068,35.94879729705
50.33722,35.9514486833
50.44376,35.9567606510333
50.5503,35.9620726187667
50.6835,35.9673845865
50.8167,35.9614716888
50.9499,35.97196199235
51.0831,35.9824522959
51.2163,35.9834313395
51.2749,35.9844103831
51.3335,35.9853894267
51.3921,35.98769966655
51.4507,35.9900099064
